Index,Title-EN,Raga-EN,Tala-EN,Title-SA,Raga-SA,Tala-SA,Mismatch-Reason
241,madhurāmbā samraksatu,begāda,miśra cāpu,मधुराम्बाया:,बेगड (२९),मिश्र चापु,"Scores: T=66.7, R=100.0, TL=100.0"
242,madhurāmbāyāh,s,ādi,मधुराम्बां भज रे,स्तवराजम् (४४),आदि,"Scores: T=60.6, R=18.2, TL=100.0"
243,madhurāmbām bhaja re,deśiśimhāravam,Unknown,मधुराम्बिकायाम्,देशीसिंहारवम् (५८),रूपकम्,"Scores: T=62.9, R=100.0, TL=0.0"
244,madhurāmbikāyām,vasan,adi,मरकतलिङ्गम्,वसन्त (१५),आदि,"Scores: T=55.2, R=83.3, TL=100.0"
246,marakatavallim,nāṭa,caturaśra ekam,महागणपतिम्,नाट (३६),चतुरश्र एकम्,"Scores: T=59.3, R=100.0, TL=100.0"
247,mahāgaṇapatim,toḍi,Unknown,महागणपतिं वन्दे,तोडि (द),रूपकम्,"Scores: T=81.2, R=100.0, TL=0.0"
249,mahāgaṇapate,madhyamāvati,rūpakam,महात्रिपुरसुन्दरी,मध्यमावति (२२),रूपकम्,"Scores: T=46.7, R=100.0, TL=100.0"
250,mahātripurasundarī,devamanohari,ādi,महादेवेन,देवमनोहरि (२२),आदि,"Scores: T=42.9, R=100.0, TL=100.0"
251,mahādevena,mādhavamanohari,Unknown,महालक्ष्मी करुणारसलहरि,माधवमनोहरि (२२),आदि,"Scores: T=27.0, R=100.0, TL=0.0"
252,mahālakshmi karunārasalahari,aṭhāṇa,ādi,महालिङ्गेश्वराय,अठाण (२८),आदि,"Scores: T=31.8, R=100.0, TL=100.0"
257,mātaŋgi marakatāngi,dhau,rūpakam,मातङ्गि मरकताङ्गि,धौतपञ्चमम् (६९),रूपकम्,"Scores: T=84.2, R=44.4, TL=100.0"
259,mādhavo mām pātu,ānandabhairavi,miśra cāpu,मानसगुरुगुह,आनन्दभैरवि (२०),रूपकम्,"Scores: T=33.3, R=100.0, TL=23.5"
260,mānasaguruguha,maṇiraṅgu,miśra cāpu,मामव पट्टाभिराम,मणिरङ्गु (२२),मिश्र चापु,"Scores: T=36.4, R=100.0, TL=100.0"
261,māmava pattābhirāma,varāli,miśra cāpu,मामव मीनाक्षि,वराळि (३१),मिश्र चापु,"Scores: T=54.5, R=100.0, TL=100.0"
262,māmava mīnāksi,māhuri,Unknown,मामव रघुवीर,माहुरि (२८),मिश्र चापु,"Scores: T=60.0, R=100.0, TL=0.0"
263,māmava raghuvīra,dhanyāsi,miśra cāpu,मायूरनाथम्,धन्याशि (२०),मिश्र चापु,"Scores: T=42.9, R=100.0, TL=100.0"
264,māye citkale,śaṅkarābharaṇam,Unknown,माये चित्कले,शङ्कराभरणम् (२९),तिस्र एकम्,"Scores: T=100.0, R=100.0, TL=0.0"
266,mārakotikotilāvaṇya,āarabhi,Unknown,मारकोटिकोटिलावण्य,आरभि (२९),झम्प,"Scores: T=100.0, R=92.3, TL=0.0"
272,mucukundavarada,śaṅkarābharaṇam,rūpakam,मुचुकुन्दवरद,शङ्कराभरणम् (२९),तिस्र एकम्,"Scores: T=100.0, R=100.0, TL=35.3"
273,muraharena mukundena,śuddhamukhāri,ādi,मुरहरेण मुकुन्देन,शुद्धमुखारि (१),रूपकम्,"Scores: T=100.0, R=100.0, TL=20.0"
274,mūlādhāracakravināyaka,śrī,Unknown,मूलाधारचक्रविनायक,श्री (२२),आदि,"Scores: T=100.0, R=100.0, TL=0.0"
278,rangapuravihāra,brndāvanasāraṅga,Unknown,रङ्गपुरविहार,वृन्दावनसारङ्ग (२२),रूपकम्,"Scores: T=100.0, R=93.8, TL=0.0"
279,rājagopālam,mohanam,rūpakam,राजगोपालम्,मोहनम् (६५),Unknown,"Scores: T=100.0, R=100.0, TL=0.0"
281,rājīvalocanam,śaṅkarābharaṇam,Unknown,राजीवलोचनम्,शङ्कराभरणम् (२१),तिश्र एकम्,"Scores: T=100.0, R=100.0, TL=0.0"
283,rāmacandrabhaktam,geyahejjajji,Unknown,रामचन्द्रभक्तम्,गेयहेज्जज्जि (१३),आदि,"Scores: T=100.0, R=100.0, TL=0.0"
286,rāmacandrāya namaste,toḍi,Unknown,रामचन्द्राय नमस्ते,तोडि (८),मिश्र चापु,"Scores: T=100.0, R=100.0, TL=0.0"
288,rāmacandram bhāvayāmi,vasan,rūpakam,328,वसन्त (१५),रूपकम्,"Scores: T=0.0, R=83.3, TL=100.0"
289,rāmacandram rājīvākṣam,śaṅkarābharaṇam,tiśra ekam,रामचन्द्रं राजीवाक्षम्,शङ्कराभरणम् (२१),चतुरश्र एकम्,"Scores: T=100.0, R=100.0, TL=41.7"
290,rāma janārdana,śaṅkarābharaṇam,Unknown,रामनाथं भजेऽहम्,शङ्कराभरणम् (२९),तिश्र एकम्,"Scores: T=47.1, R=100.0, TL=0.0"
291,rāmanātham bhaje’ham,kāśirāmakriya,rūpakam,331,काशीरामक्रिय (५१),रूपकम्,"Scores: T=0.0, R=100.0, TL=100.0"
293,rāme bharatapālita,jyoti,rūpakam,रामे भरतपालित,ज्योति (६८),खण्ड चापु,"Scores: T=100.0, R=100.0, TL=33.3"
294,rudrakopajāta,rudrapriya,ādi,रूपमु जूचि,रुद्रप्रिय (२२),रूपकम्,"Scores: T=33.3, R=100.0, TL=20.0"
295,rūpamu jūci,toḍi,Unknown,रूपमु जूचि (चौक वर्णम्),तोडि (८),आदि,"Scores: T=100.0, R=100.0, TL=0.0"
296,reṇukādevi samraksito'ham,kannaḍabaṅgāla,jhampa,लम्बोदराय नमस्ते,कन्नडबझाळ (१५),झम्प,"Scores: T=45.5, R=85.7, TL=100.0"
297,lambodarāya namaste,varāli,khẩn dịa căpu,ललितापरमेश्वरी,वराळि (३९),खण्ड चापु,"Scores: T=38.9, R=100.0, TL=75.0"
298,lalitāparameśvarī,suraṭi,ādi,ललिताम्बिकाम्,सुरटि (२८),आदि,"Scores: T=55.2, R=100.0, TL=100.0"
301,vadānyeśvaram,devagāndhāri,Unknown,वदान्येश्वरम्,देवगान्धारि (२९),आदि,"Scores: T=100.0, R=100.0, TL=0.0"
303,varadarāja pahi,śaṅkarābharaṇam,Unknown,वरदराज पहि,शङ्कराभरणम् (२१),तिश्र एकम्,"Scores: T=100.0, R=100.0, TL=0.0"
305,varadarājā’vāva,gangā,rūpakam,वरदराजाऽवाव,गङ्गातरङ्गिणि (३३),रूपकम्,"Scores: T=100.0, R=52.6, TL=100.0"
306,varalakṣmīṃ bhaja,saurāṣṭram,Unknown,वरलक्ष्मीं भज,सौराष्ट्रम् (१५),आदि,"Scores: T=100.0, R=100.0, TL=0.0"
310,vātāpigaṇapatim bhaje'ham,haṃsadhavi,Unknown,वातापिगणपतिं भजेऽहम्,हंसध्वनि (२१),आदि,"Scores: T=100.0, R=85.7, TL=0.0"
312,vārāhīm vaisṇavīm,vegavāhini,Unknown,वाराहीं वैष्णवीं,वेगवाहिनि (१६),चापु,"Scores: T=100.0, R=100.0, TL=0.0"
320,vīṇāpustakadhāriṇīm,vehavāhini,Unknown,वीणापुस्तकधारिणीम्,वेहवाहिनि (१६),खण्ड एकम्,"Scores: T=100.0, R=100.0, TL=0.0"
321,vīṇābheriveṇuvādyādi,ābheri,ādi,वीणाभेरिवेणुवाद्यादि,आमेरि (२०),आदि,"Scores: T=100.0, R=72.7, TL=100.0"
322,vīravasanta tyāgarāja,vīravasan,Unknown,वीरवसंत त्यागराज,वीरवसन्तम (२४),आदि,"Scores: T=95.2, R=81.8, TL=0.0"
329,śaktisahitagaṇapatim,śaṅkarābharaṇam,ādi,शक्तिसहितगणपतिम्,शङ्कराभरणम् (२१),तिश्र एकम्,"Scores: T=100.0, R=100.0, TL=30.8"
330,śaṅkaranārāyaṇam,nārāyaṇadeśākṣi,rūpakam,शङ्करनारायणम्,नारायणदेशाक्षि (२१),Unknown,"Scores: T=100.0, R=100.0, TL=0.0"
331,śaṅkaramabhirāmīmanoharam,manohari,tiśra ekam,शङ्करमभिरामीमनोहरम्,मनोहरि (३३),रूपकम्,"Scores: T=100.0, R=100.0, TL=35.3"
332,śaṅkaravara,śaṅkarābharaṇam,rūpakam,शङ्करवर,शङ्कराभरणम् (२९),तिस्र एकम्,"Scores: T=100.0, R=100.0, TL=35.3"
334,śaravaṇabhavaguruguham,revagupti,Unknown,शरवणभवगुरुगुहं,रेवगुप्ति (१५),रूपकम्,"Scores: T=100.0, R=100.0, TL=0.0"
337,śivakāmīpatim,nā,ādi,शिवकामीपतिम्,नाटकुरञ्जि (२८),आदि,"Scores: T=100.0, R=30.8, TL=100.0"
343,śrṅgāradinavarasāṅgī,dhavalāṅgam,Unknown,शृङ्गारदिनवरसाङ्गी,धवळाङ्गम् (४९),खण्ड एकम्,"Scores: T=100.0, R=100.0, TL=0.0"
352,śrīkamalāmbikayā,śaṅkarābharaṇam,tripuṭa,श्रीकमलाम्बिकया,शङ्कराभरणम् (२१),रूपकम्,"Scores: T=100.0, R=100.0, TL=42.9"
353,śrīkamalāmbikāyām,sahāna,Unknown,श्रीकमलाम्बिकायाम्,सदान (२२),त्रिपुट,"Scores: T=100.0, R=83.3, TL=0.0"
355,śrīkamalāmbike’vāva,ghaṇṭa,ādi,श्रीकमलाम्बिकेऽवाव,घण्ट (२०),Unknown,"Scores: T=100.0, R=100.0, TL=0.0"
356,śrīkamalāmbike,śrī,ādi,श्रीकमलाम्बिके,श्री (२२),खण्ड एकम्,"Scores: T=100.0, R=100.0, TL=28.6"
357,śrīkāntimām,deśīsimhāramam,Unknown,श्रीकान्तिमतीम्,देशीसिम्हारवम् (५८),Unknown,"Scores: T=91.7, R=92.9, TL=0.0"
366,śrīguruguhasya,pūrvvi,Unknown,श्रीगुरुगुहस्य,पूर्वि (१५),मिश्र चापु,"Scores: T=100.0, R=90.9, TL=0.0"
369,śrīdaksināmūrtimīśam,phenadyuti,Unknown,श्रीदक्षिणामूर्तिमीशम्,फेनद्युति (२),आदि,"Scores: T=100.0, R=100.0, TL=0.0"
377,śrībālasubrahmanya,bilahari,Unknown,श्रीबालसुब्रह्मण्य,बिलहरि (२१),मिश्र चापु,"Scores: T=100.0, R=100.0, TL=0.0"
378,śrībhārgavī,maṅgalaikaiśikī,cāpu,श्री भार्गवी,मङ्गळकैशिकी (१५),चापु,"Scores: T=69.6, R=96.6, TL=100.0"
383,śrīmadhurāmbike,kalyāṇi,khẩn dịa căpu,श्रीमधुराम्बिके,कल्याणि (६५),Unknown,"Scores: T=100.0, R=100.0, TL=0.0"
385,śrīmahārājñi,karṇāṭaka kāpi,khẩn dịa ekam,श्रीमहाराज्ञि,कर्णाटक कापि (२२),Unknown,"Scores: T=100.0, R=100.0, TL=0.0"
387,śrīmātrbhūtam,kannaḍa,miśra cāpu,श्रीमीनाम्बिकायाः,कन्नड (२८),Unknown,"Scores: T=50.0, R=100.0, TL=0.0"
390,śrīraṅganāthāya,dhanyāsi,rūpakam,श्री रमासरस्वती,धन्याशि (२०),रूपकम्,"Scores: T=37.5, R=100.0, TL=100.0"
392,śrīrājagopāla,sāveri,ādi,442,सावेरि (१५),आदि,"Scores: T=0.0, R=100.0, TL=100.0"
400,śrī varalakṣmi namastubhyam,śrī,Unknown,श्री वरलक्ष्मि नमस्तुभ्यम्,श्री (२२),रूपकम्,"Scores: T=100.0, R=100.0, TL=0.0"
405,śrīveṅkatagiriśam,kurañji,jhampa,श्रीवेणुगोपाल,कुरञ्जि (२९),Unknown,"Scores: T=53.3, R=100.0, TL=0.0"
406,śrīveṇugopāla,śaṅkarābharaṇam,rūpakam,463,शङ्कराभरणम् (२१),रूपकम्,"Scores: T=0.0, R=100.0, TL=100.0"
407,śrī veṇugopālam,aṭhāṇa,ādi,श्रीवैद्यनाथम्,अठाण (२८),आदि,"Scores: T=53.3, R=100.0, TL=100.0"
408,śrīvaidyanātham,paraju,aṭa,श्री शुक्रभगवन्तम्,परजु (१५),अट,"Scores: T=51.4, R=100.0, TL=100.0"
409,śrī śukrabhagavantam,śailadesākṣi,ādi,श्री शूलिनीम्,शैलदेसाक्षि (३५),आदि,"Scores: T=51.6, R=100.0, TL=100.0"
410,śrī śūlinīm,śivapantuvarāli,rūpakam,467,शिवपन्तुवराळि (४५),रूपकम्,"Scores: T=0.0, R=100.0, TL=100.0"
411,śrīsatyanārāyaṇam,āarabhi,Unknown,४१५ श्रीसरस्वति नमोऽस्तु ते,आरभि (२१),रूपकम्,"Scores: T=35.6, R=92.3, TL=0.0"
412,śrīsarasvati namo'stu te,māñji,ādi,श्री सरस्वति हिते,माञ्जि (२०),आदि,"Scores: T=57.1, R=100.0, TL=100.0"
413,śrī sarasvati hite,bilahari,ādi,४१७ श्री साम्बशिवम्,बिलहरि (२९),आदि,"Scores: T=61.1, R=100.0, TL=100.0"
414,śrī sāmbaśivam,kun,rūpakam,श्रीसुगन्धिकुन्तलाम्बिके,कुन्तलम् (६१),रूपकम्,"Scores: T=32.4, R=54.5, TL=100.0"
415,śrīsugandhikuntalāmbike,kāśirāmakriya,ādi,श्रीसुन्दरराजम्,काशीरामक्रिय (५१),आदि,"Scores: T=52.6, R=100.0, TL=100.0"
416,śrīsundarājam,kāmbhoji,rūpakam,श्रीसुब्रह्मण्यय,काम्भोजि (२८),Unknown,"Scores: T=55.2, R=100.0, TL=0.0"
417,śrīsubrahmanyā,toḍi,khẩn da căpu,श्रीसुब्रह्मण्यो माम्,तोडि (८),आदि,"Scores: T=81.2, R=100.0, TL=26.7"
418,śrīsubrahmāṇyo mām,khamās,Unknown,४२२ श्री स्वामिनाथाय,खमास् (२८),खण्ड चापु,"Scores: T=47.4, R=100.0, TL=0.0"
419,śrī svāmināthāya,rāgacūḍāmaṇi,triputa,श्वेतगणपतिम्,रागचूडामणि (३२),त्रिपुट,"Scores: T=40.0, R=100.0, TL=100.0"
420,śvetagaṇapatim,āarabhi,ādi,४२४ श्वेतारण्येश्वरम्,आरभि (२९),आदि,"Scores: T=58.8, R=92.3, TL=100.0"
421,śvetāraṇyeśvaram,khamās,ādi,षडानने,खमास् (२८),आदि,"Scores: T=41.7, R=100.0, TL=100.0"
422,śadānane,śaṅkarābharaṇam,caturaśra ekam,नोटुस्वर साहित्यम्,शङ्कराभरणम् (२१),चतुरश्र एकम्,"Scores: T=30.8, R=100.0, TL=100.0"
423,sakalasuravinuta,kumbini,ādi,सच्चिदानन्दमय,कुम्बिनी (४१),आदि,"Scores: T=37.5, R=100.0, TL=100.0"
424,saccidānandamaya,bhūpālam,ādi,सदाचलेश्वरम्,भूपाळम् (९),Unknown,"Scores: T=46.7, R=100.0, TL=0.0"
425,sadācaleśvaram,revagupti,rūpakam,४२९ सदाविनतसादरे,रेवगुप्ति (१५),रूपकम्,"Scores: T=47.1, R=100.0, TL=100.0"
426,sadāvinatasādare,śaṅkarābharaṇam,caturaśra ekam,४३१ सदाशिवमुपास्महे,शङ्कराभरणम् (२१),आदि,"Scores: T=54.1, R=100.0, TL=11.8"
427,sadāśivamupāsmahe,śaṅkarābharaṇam,Unknown,[SYNCED] sadāśivamupāsmahe,सिन्दुरामक्रिय (४५),Unknown,"Scores: T=100.0, R=48.3, TL=0.0"
428,sadāśivena,sindurāmakriya,ādi,[SYNCED] sadāśivena,चामरम् (५६),रूपकम्,"Scores: T=100.0, R=47.6, TL=20.0"
429,sadyojātādipañcamukhena sindurāmakriyā rāganutena,cāmaram,rūpakam,४३४ सन्ततं गोविन्दराजम्,शङ्कराभरणम् (२९),तिश्र एकम्,"Scores: T=32.4, R=45.5, TL=35.3"
430,santatam govindarājam,śaṅkarābharaṇam,tiśra ekam,नोटुस्वर साहित्यम्,शङ्कराभरणम् (२१),तिश्र एकम्,"Scores: T=56.4, R=100.0, TL=100.0"
431,santatam pāhi mām,śaṅkarābharaṇam,Unknown,४३६ सन्तानगोपालकृष्णम्,खमाश् (२८),रूपकम्,"Scores: T=40.0, R=38.1, TL=0.0"
432,santānagopālakṛṣṇam,khamāś,rūpakam,492,सन्तानमञ्जरि (६७),आदि,"Scores: T=0.0, R=30.0, TL=20.0"
433,santānamañjarī śaṅkarī,san,ādi,[SYNCED] santānamañjarī śaṅkarī,हिन्दोलवसन्तम (२०),आदि,"Scores: T=100.0, R=31.6, TL=100.0"
434,santānarāmasvāminam,hindolavasan,Unknown,494,शङ्कराभरणम् (२१),तिश्र एकम्,"Scores: T=0.0, R=37.0, TL=0.0"
435,santānasaubhāgya,śaṅkarābharaṇam,tiśra ekam,४४० सन्ध्यादेवीम्,देवक्रिय (२८),आदि,"Scores: T=37.5, R=33.3, TL=30.8"
436,sandhyādevīm,devakriya,ādi,४४१ सरससौवीर,सौवीरम् (४७),आदि,"Scores: T=34.5, R=35.3, TL=100.0"
437,sarasasauvīra,sauvīram,ādi,४४२ सरसिजनाभसोदरि,नागगान्धारि (२०),रूपकम्,"Scores: T=50.0, R=20.0, TL=20.0"
