Krithi,Raga,Hyperlink
nI sATi daivamendu,SrI ranjani,http://guru-guha.blogspot.com/2008/01/dikshitar-telugu-kriti-nee-saati.html
nIla kaNTa mahA dEva,vasanta,http://guru-guha.blogspot.com/2007/12/dikshitar-kriti-neela-kantha-mahadeva.html
nIla kaNThaM bhajEhaM,kEdAra gauLa,http://guru-guha.blogspot.com/2008/01/dikshitar-kriti-neela-kantham-bhajeham.html
nIla kaNThAya namO,nAda rAmakriya,http://guru-guha.blogspot.com/2008/01/dikshitar-kriti-neela-kanthaaya-namo.html
nIlAcala nAthaM,sumadyuti,http://guru-guha.blogspot.com/2008/01/dikshitar-kriti-neelaachala-naatham.html
nIlAngaM hariM,nIlAmbari,http://guru-guha.blogspot.com/2008/01/dikshitar-kriti-neelaangam-harim-raga.html
nIlOtpalAmbA jayati,nArAyaNa gauLa,http://guru-guha.blogspot.com/2008/01/dikshitar-kriti-neelotpalaambaa-jayathi.html
nIlOtpalAmbAM bhajarE,nArI rItigauLa,http://guru-guha.blogspot.com/2008/01/dikshitar-kriti-neelotpalaambaam.html
nIlOtpalAmbikayA nirvANa,kannaDa gauLa,http://guru-guha.blogspot.com/2008/01/dikshitar-kriti-neelotpalaambikayaa.html
nIlOtpalAmbikAyAH paraM,gauLa,http://guru-guha.blogspot.com/2008/01/dikshitar-kriti-neelotpalaambikaayaah.html
nIlOtpalAmbikAyai namastE,kEdAra gauLa,http://guru-guha.blogspot.com/2008/01/dikshitar-kriti-neelotpalaambikaayai.html
nIlOtpalAmbikAyAM bhaktiM,pUrva gauLa,http://guru-guha.blogspot.com/2008/01/dikshitar-kriti-neelotpalaambikaayaam.html
nIlOtpalAmbikAyAstava,mAyA mALava gauLa,http://guru-guha.blogspot.com/2008/01/dikshitar-kriti-neelotpalaambikaayaasta.html
nIlOtpalAmbikE nitya,chAyA gauLa,http://guru-guha.blogspot.com/2008/01/dikshitar-kriti-neelotpalaambikae-nitya.html
nIrajAkshi kAmAkshi,hindOLaM,http://guru-guha.blogspot.com/2007/12/dikshitar-kriti-neerajaakshi-kaamaakshi.html
nishadhAdi,nishada,http://guru-guha.blogspot.com/2007/12/dikshitar-kriti-nishadhaadi-raga.html
pAhi durgE,SankarAbharaNaM,http://guru-guha.blogspot.com/2008/02/dikshitar-kriti-paahi-durge-raga.html
pAhi mAM janakI vallabha,SankarAbharaNaM,http://guru-guha.blogspot.com/2008/02/dikshitar-kriti-paahi-mam-janaki.html
pAhi mAM pArvati paramESvari,mOhanaM,http://guru-guha.blogspot.com/2008/02/dikshitar-kriti-paahi-mam-parvathi.html
pAhi mAM ratnAcala nAyaka,mukhAri,http://guru-guha.blogspot.com/2008/02/dikshitar-kriti-paahi-mam-rathnachala.html
pAlaya mAM bRhadISvara,nAyaki,http://guru-guha.blogspot.com/2008/02/dikshitar-kriti-paalaya-mam_13.html
pAlaya mAM bRhadISvari,tODi,http://guru-guha.blogspot.com/2008/02/dikshitar-kriti-paalaya-mam_14.html
pAlaya mAM paramESvari,tarangiNi,http://guru-guha.blogspot.com/2008/02/dikshitar-kriti-paalaya-mam-paramesvari.html
pAlaya mAM pArvatISa,kannaDa,http://guru-guha.blogspot.com/2008/02/dikshitar-kriti-paalaya-mam.html
pAmara jana pAlini,sumadyuti,http://guru-guha.blogspot.com/2008/02/dikshitar-kriti-paamara-jana-paalini.html
panca bhUta kiraNAvaLIM,kiraNAvaLi,http://guru-guha.blogspot.com/2008/01/dikshitar-kriti-pancha-bhootha.html
panca mAtanga mukha,malahari,http://guru-guha.blogspot.com/2008/01/dikshitar-kriti-pancha-maathanga-mukha.html
pancASatpITha rUpiNi,dEva gAndhAraM,http://guru-guha.blogspot.com/2008/01/dikshitar-kriti-panchaasat-peetha.html
pankaja mukha,SankaraAbharaNaM,http://guru-guha.blogspot.com/2008/01/dikshitar-kriti-pankaja-mukha-raga.html
pannaga Sayana,madhyamAvati,http://guru-guha.blogspot.com/2008/01/dikshitar-kriti-pannaga-sayana-raga.html
para dEvatA bRhatkucAmbA,dhanyASi,http://guru-guha.blogspot.com/2008/01/dikshitar-kriti-para-devataa-brhat.html
para dEvatE bhakta pUjitE,huSani,http://guru-guha.blogspot.com/2008/01/dikshitar-kriti-para-devatae-bhakta.html
para dEvatE bhava,SankarAbharaNaM,http://guru-guha.blogspot.com/2008/01/dikshitar-kriti-para-devatae-bhava-raga.html
para dEvatE namastE,Ananda bhairavi,http://guru-guha.blogspot.com/2008/01/dikshitar-kriti-para-devatae-namastae.html
parA Sakti ISvari,gauri vElAvali,http://guru-guha.blogspot.com/2008/01/dikshitar-kriti-paraa-sakti-isvari-raga.html
parA SaktiM,rudra priya,http://guru-guha.blogspot.com/2008/01/dikshitar-kriti-paraa-saktim-raga-rudra.html
parama SivAtmajaM,yamunA kalyANi,http://guru-guha.blogspot.com/2008/01/dikshitar-kriti-parama-sivaatmajam-raga.html
paramESvara jagadISvara,cala nATa,http://guru-guha.blogspot.com/2008/01/dikshitar-kriti-paramesvara.html
paramESvarEna,pUrva varALi,http://guru-guha.blogspot.com/2008/01/dikshitar-kriti-paramesvarena-raga.html
parandhAmavatI,dhAmavati,http://guru-guha.blogspot.com/2008/01/dikshitar-kriti-parandhaamavathi-raga.html
paranjyOtishmatI,jyOti,http://guru-guha.blogspot.com/2008/01/dikshitar-kriti-paranjyotishmati.html
parimaLa ranga nAthaM1,hamIrkalyANi,http://guru-guha.blogspot.com/2008/01/dikshitar-kriti-parimala-ranganatham-1.html
parimaLa ranga nAthaM2,hamIrkalyANi,http://guru-guha.blogspot.com/2008/01/dikshitar-kriti-parimala-ranganatham2.html
parvata rAja kumAri,SrI ranjani,http://guru-guha.blogspot.com/2008/02/dikshitar-kriti-parvata-raja-kumari.html
parvata vardhani,sAma,http://guru-guha.blogspot.com/2008/02/dikshitar-kriti-parvatha-vardhani-raga.html
pArvatI kumAraM,nATa kuranji,http://guru-guha.blogspot.com/2008/02/dikshitar-kriti-parvathi-kumaram-raga.html
pArvatI patE,SankarAbharaNaM,http://guru-guha.blogspot.com/2008/02/dikshitar-kriti-paarvathi-pathae-raga.html
pArvatI patiM,haMsa dhvani,http://guru-guha.blogspot.com/2008/02/dikshitar-kriti-parvathi-pathim-raga.html
pArvatISvarENa,bhUshAvati,http://guru-guha.blogspot.com/2008/02/dikshitar-kriti-paarvatheesvarena-raga.html
paSupatISvaraM,Siva pantuvarALi,http://guru-guha.blogspot.com/2008/02/dikshitar-kriti-pasupatheesvaram-raga.html
pavanAtmajAgaccha,cala nATa,http://guru-guha.blogspot.com/2008/02/dikshitar-kriti-pavanaatmaja-agaccha.html
pavanAtmajaM,SankarAbharaNaM,http://guru-guha.blogspot.com/2008/02/dikshitar-kriti-pavanaatmajam-raga.html
pIta varNaM,SankarAbharaNaM,http://guru-guha.blogspot.com/2008/02/dikshitar-kriti-peetha-varnam-raga.html
praNatArti haraM,nAyaki,http://guru-guha.blogspot.com/2008/02/dikshitar-kriti-pranataarti-haram-raga.html
praNatArti harAya,sAmanta,http://guru-guha.blogspot.com/2008/02/dikshitar-kriti-pranataarti-haraaya.html
prasanna vEnkaTESvaraM,vATI vasanta bhairavi,http://guru-guha.blogspot.com/2008/02/dikshitar-kriti-prasanna-venkatesvaram.html
pratyangirA,nAda rAmakriya,http://guru-guha.blogspot.com/2008/02/dikshitar-kriti-pratyingiraa-bhagavatim.html
pura hara nandana,hamIr kalyANi,http://guru-guha.blogspot.com/2008/02/dikshitar-kriti-pura-hara-nandana-raga.html
pUrNa candra bimba,rAga mAlikA,http://guru-guha.blogspot.com/2008/02/dikshitar-kriti-poorna-chandra-bimba.html
rAja gOpAlaM,mOhanaM,http://guru-guha.blogspot.com/2008/05/dikshitar-kriti-raja-gopalam-raga.html
rAja rAjEndra,guNDakriya,http://guru-guha.blogspot.com/2008/05/dikshitar-kriti-raja-rajendra-raga.html
rAjIva lOcanaM,SankarAbharaNaM,http://guru-guha.blogspot.com/2008/05/dikshitar-kriti-rajeeva-lochanam-ragam.html
rakta gaNa patiM,mOhanaM,http://guru-guha.blogspot.com/2008/05/dikshitar-kriti-rakta-ganapathim-raga.html
rAma candra bhaktaM,gEya hejjajji,http://guru-guha.blogspot.com/2008/05/dikshitar-kriti-ramachandra-bhaktam.html
rAma candrAdanyaM,dhanyASi,http://guru-guha.blogspot.com/2008/05/dikshitar-kriti-ramachandradanyam-raga.html
rAma candraM bhAvayAMi,vasanta,http://guru-guha.blogspot.com/2008/05/dikshitar-kriti-ramachandram-bhavayami.html
rAma candraM rAjIvAkshaM,SankarAbharaNaM,http://guru-guha.blogspot.com/2008/05/dikshitar-kriti-ramachandram.html
rAma candrasya dAsOhaM,dhAmavati,http://guru-guha.blogspot.com/2008/05/dikshitar-kriti-ramachandrasya-dasoham.html
rAma candrAya namastE,tODi,http://guru-guha.blogspot.com/2008/05/dikshitar-kriti-ramachandraya-namaste.html
rAma candrEna saMrakshitOhaM,mAnji,http://guru-guha.blogspot.com/2008/05/dikshitar-kriti-ramachandrena.html
rAma janArdana,SankarAbharaNaM,http://guru-guha.blogspot.com/2008/05/dikshitar-kriti-rama-janardana-raga.html
rAma kRshNEna,sahAna,http://guru-guha.blogspot.com/2008/05/dikshitar-kriti-rama-krishnena-raga.html
rAma nAthaM bhajEhaM,kASi rAmakriya,http://guru-guha.blogspot.com/2008/05/dikshitar-kriti-ramanatham-bhajeham.html
rAma rAma kali,rAmakali,http://guru-guha.blogspot.com/2008/05/dikshitar-kriti-rama-rama-kali-kalusha.html
rAmE bharata,jyOti,http://guru-guha.blogspot.com/2008/05/dikshitar-kriti-rame-bharatha-palita.html
ranga nAyakaM,nAyaki,http://guru-guha.blogspot.com/2008/05/dikshitar-kriti-ranga-nayakam-raga.html
ranga pura vihAra,bRndAvana sAranga,http://guru-guha.blogspot.com/2008/05/dikshitar-kriti-rangapura-vihara-raga.html
rENukA dEvi,kannaDa bangALa,http://guru-guha.blogspot.com/2008/05/dikshitar-kriti-renuka-devi-raga.html
rudra kOpa jAta,rudra priya,http://guru-guha.blogspot.com/2008/05/dikshitar-kriti-rudra-kopa-jatha-raga.html
saccidAnanda maya,kumbhini,http://guru-guha.blogspot.com/2008/09/dikshitar-kriti-sacchidanandamaya-raga.html
sadA vinata sAdarE,rEvagupti,http://guru-guha.blogspot.com/2008/09/dikshitar-kriti-sada-vinata-sadare-raga.html
sadAcalESvaraM,bhUpALaM,http://guru-guha.blogspot.com/2008/09/dikshitar-kriti-sadaachalesvaram-raga.html
sadASiva jAyE,SankarAbharaNaM,http://guru-guha.blogspot.com/2008/09/dikshitar-kriti-sadasiva-jaaye-raga.html
sadASivaM upAsmahE,SankarAbharaNaM,http://guru-guha.blogspot.com/2008/09/dikshitar-kriti-sadasivam-upasmahe-raga.html
sadASivEna,sindhu rAmakriyA,http://guru-guha.blogspot.com/2008/09/dikshitar-kriti-sadasivena-raga-sindhu.html
sadASrayE abhayAmbikE,cAmaraM,http://guru-guha.blogspot.com/2008/09/dikshitar-kriti-sadaasraye-abhayambike.html
sAdhu jana citta,pUrNa pancamaM,http://guru-guha.blogspot.com/2008/10/dikshitar-kriti-saadhu-jana-chitta-raga.html
sAdhu jana vinutiM,gIta priyA,http://guru-guha.blogspot.com/2008/10/dikshitar-kriti-saadhu-jana-vinutam.html
Saila rAja kumAri,Saila dESAkshi,http://guru-guha.blogspot.com/2008/07/dikshitar-kriti-saila-raja-kumari-raga.html
SailESvaraM,sumadyuti,http://guru-guha.blogspot.com/2008/07/dikshitar-kriti-sailesvaram-bhajare.html
saindhavi rAga priyE,saindhavi,http://guru-guha.blogspot.com/2008/10/dikshitar-kriti-saindhavi-raga-priye.html
sakala sura vinuta,SankarAbharaNaM,http://guru-guha.blogspot.com/2008/09/dikshitar-kriti-sakala-sura-vinuta-raga.html
Sakti sahita,SankarAbharaNaM,http://guru-guha.blogspot.com/2008/06/dikshitar-kriti-sakti-sahita-raga.html
SAlivATISvaraM,dEva gAndhAri,http://guru-guha.blogspot.com/2008/07/dikshitar-kriti-saalivaateesvaram-raga.html
sAma gAna priyE,SankarAbharaNaM,http://guru-guha.blogspot.com/2008/10/dikshitar-kriti-sama-gana-priye-raga.html
sAmba sadASivAya,kAmbhOji,http://guru-guha.blogspot.com/2008/10/dikshitar-kriti-samba-sadasivaya-raga.html
sandhyA dEvIM,dEva kriyA,http://guru-guha.blogspot.com/2008/10/dikshitar-kriti-sandhya-devim-raga-deva.html
Sankara nArAyaNaM,nArAyaNa dESAkshi,http://guru-guha.blogspot.com/2008/06/dikshitar-kriti-sankara-narayanam-raga.html
Sankara vara,SankarAbharaNaM,http://guru-guha.blogspot.com/2008/06/dikshitar-kriti-sankara-vara.html
SankaraM abhirAmI,manOhari,http://guru-guha.blogspot.com/2008/06/dikshitar-kriti-sankaram-abhirami-raga.html
Sankha cakra gadA,pUrNa candrika,http://guru-guha.blogspot.com/2008/06/dikshitar-kriti-shankha-chakra-gada.html
santAna gOpAla kRshNaM,khamAs,http://guru-guha.blogspot.com/2008/09/dikshitar-kriti-santana-gopalakrishnam.html
santAna manjari,santAna manjari,http://guru-guha.blogspot.com/2008/09/dikshitar-kriti-santana-manjari-raga.html
santAna rAma svAminaM,hindOla vasantaM,http://guru-guha.blogspot.com/2008/10/dikshitar-kriti-santana-ramasvaminam.html
santAna saubhAgya,SankarAbharaNaM,http://guru-guha.blogspot.com/2008/10/dikshitar-kriti-santana-saubhagya-raga.html
santataM gOvinda rAjaM,SankarAbharaNaM,http://guru-guha.blogspot.com/2008/09/dikshitar-kriti-santatam-govindarajam.html
santataM pAhi mAM,SankarAbharaNaM,http://guru-guha.blogspot.com/2008/09/dikshitar-kriti-santatam-pahimam-raga.html
sAranga rAga priyE,sAranga,http://guru-guha.blogspot.com/2008/10/dikshitar-kriti-saranga-raga-priye-raga.html
sArasa daLa nayana,khamAs,http://guru-guha.blogspot.com/2008/10/dikshitar-kriti-sarasa-dala-nayana-raga.html
sarasa sauvIra,sauvIraM,http://guru-guha.blogspot.com/2008/10/dikshitar-kriti-sarasa-sauveera-raga.html
sarasija nAbha sOdari,nAga gAndhAri,http://guru-guha.blogspot.com/2008/10/dikshitar-kriti-sarasija-nabha-sodari.html
sarasvati chAyA tarangiNi,chAyA tarangiNi,http://guru-guha.blogspot.com/2008/10/dikshitar-kriti-sarasvati-chaya.html
sarasvati manOhari,sarasvati manOhari,http://guru-guha.blogspot.com/2008/10/dikshitar-kriti-sarasvati-manohari-raga.html
sarasvati vidhi yuvati,hindOLaM,http://guru-guha.blogspot.com/2008/10/dikshitar-kriti-sarasvati-vidhi-yuvati.html
sarasvatyA bhagavatyA,chAyA gauLa,http://guru-guha.blogspot.com/2008/10/dikshitar-kriti-sarasvatya-bhagavatya.html
SaravaNa bhava,rEvagupti,http://guru-guha.blogspot.com/2008/06/dikshitar-kriti-saravana-bhava-raga.html
SarAvatI taTa,SarAvatI,http://guru-guha.blogspot.com/2008/06/dikshitar-kriti-saraavathi-thata-raga.html
saundara rAjaM,bRndAvani,http://guru-guha.blogspot.com/2008/10/dikshitar-kriti-saundararajam-raga.html
saura sEnESaM,saura sEna,http://guru-guha.blogspot.com/2008/10/dikshitar-kriti-saura-senesam-raga.html
Sauri vidhi nutE,SankarAbharaNaM,http://guru-guha.blogspot.com/2008/07/dikshitar-kriti-sauri-vidhi-vinute-raga.html
sEnA patE,kASi rAmakriyA,http://guru-guha.blogspot.com/2008/10/dikshitar-kriti-sena-pate-raga-kasi.html
SEshAcala nAyakaM,varALi,http://guru-guha.blogspot.com/2008/07/dikshitar-kriti-seshachala-nayakam-raga.html
shaDAnanE,khamAs,http://guru-guha.blogspot.com/2008/09/dikshitar-kriti-shadaanane-raga-khamas.html
siddhi vinAyakaM,cAmaraM,http://guru-guha.blogspot.com/2008/10/dikshitar-kriti-siddhi-vinayakam-raga.html
siddhISvarAya,nIlAmbari,http://guru-guha.blogspot.com/2008/10/dikshitar-kriti-siddheesvaraya-raga.html
siMhAsana sthitE,rAga mAlikA,http://guru-guha.blogspot.com/2008/10/dikshitar-kriti-simhasana-sthite-raga.html
Siva kAmESvaraM,Arabhi,http://guru-guha.blogspot.com/2008/07/dikshitar-kriti-siva-kamesvaram-raga.html
Siva kAmESvarIM,kalyANi,http://guru-guha.blogspot.com/2008/07/dikshitar-kriti-siva-kamesvareem-raga.html
Siva kAMI patiM,nATa kuranji,http://guru-guha.blogspot.com/2008/07/dikshitar-kriti-sivakami-pathim-raga.html
Siva kAyArOhaNESAya,rudra priya,http://guru-guha.blogspot.com/2008/07/dikshitar-kriti-siva-kaayaarohanesaaya.html
smarAmyahaM sadA,rAma manOhari,http://guru-guha.blogspot.com/2008/10/dikshitar-kriti-smaraamyaham-sada-raga.html
sOma sundarESvaraM,Suddha vasataM,http://guru-guha.blogspot.com/2008/10/dikshitar-kriti-soma-sundaresvaram-raga.html
sOmAskandaM,SankarAbharaNaM,http://guru-guha.blogspot.com/2008/10/dikshitar-kriti-somaskandam-raga.html
SrI abhayAmbA,SrI rAgaM,http://guru-guha.blogspot.com/2008/07/dikshitar-kriti-sri-abhayamba-raga-sri.html
SrI bAlasubrahmaNya,bilahari,http://guru-guha.blogspot.com/2008/08/dikshitar-kriti-sri-balasubhrahmanya.html
SrI bhArgavi,mangaLa kaiSiki,http://guru-guha.blogspot.com/2008/08/dikshitar-kriti-sri-bhargavi-raga.html
SrI dakshiNA mUrtiM sadA,aThANa,http://guru-guha.blogspot.com/2008/07/dikshitar-kriti-sri-dakshina-moorthim_29.html
SrI dakshiNA mUrtISaM,phEnadyuti,http://guru-guha.blogspot.com/2008/07/dikshitar-kriti-sri-dakshina-moorthim.html
SrI duM durgE,SrI ranjani,http://guru-guha.blogspot.com/2008/07/dikshitar-kriti-sri-dum-durge-raga-sri.html
SrI gaNa nAthaM,ISa manOhari,http://guru-guha.blogspot.com/2008/07/dikshitar-kriti-sri-gana-natham-raga.html
SrI gaNESAtparaM,Ardra dESi,http://guru-guha.blogspot.com/2008/07/dikshitar-kriti-sri-ganesatparam-raga.html
SrI guru guha mUrtE,udaya ravicandrika,http://guru-guha.blogspot.com/2008/07/dikshitar-kriti-sri-guruguha-moorte.html
SrI guru guha tArayASu,dEvakriya,http://guru-guha.blogspot.com/2008/07/dikshitar-kriti-sri-guru-guha-tharayasu.html
SrI guru guhasya,pUrvi,http://guru-guha.blogspot.com/2008/07/dikshitar-kriti-sri-guruguhasya-raga.html
SrI guruNA,pADi,http://guru-guha.blogspot.com/2008/07/dikshitar-kriti-sri-guruna-raga-padi.html
SrI kALahastISa,huSani,http://guru-guha.blogspot.com/2008/07/dikshitar-kriti-kalhasteesa-raga-huseni.html
SrI kamalAmbA jayati,Ahiri,http://guru-guha.blogspot.com/2007/09/dikshitar-kriti-sri-kamalaambaa-jayati.html
SrI kamalAmbikayA kaTAkshitOhaM,SankarAbharaNaM,http://guru-guha.blogspot.com/2007/09/dikshitar-kriti-sri-kamalaambikayaa.html
SrI kamalAmbikAyAH paraM,bhairavi,http://guru-guha.blogspot.com/2007/09/dikshitar-kriti-sri-kamalaambikaayaah.html
SrI kamalAmbikAyAM bhaktiM,sahAna,http://guru-guha.blogspot.com/2007/09/dikshitar-kriti-sri-kamalaambikaayaam.html
SrI kamalAmbikE avAva,ghaNTA,http://guru-guha.blogspot.com/2007/09/dikshitar-kriti-sri-kamalaambikae.html
SrI kamalAmbikE SivE,SrI rAgaM,http://guru-guha.blogspot.com/2007/09/dikshitar-kriti-sri-kamalaambikae-sivae.html
SrI kAntimatIM,dESi siMhAravaM,http://guru-guha.blogspot.com/2008/07/dikshitar-kriti-sri-kantimateem-raga.html
SrI kRshNaM bhaja mAnasa,tODi,http://guru-guha.blogspot.com/2008/07/dikshitar-kriti-sri-krishnam-bhaja.html
SrI kRshNaM bhajarE,rUpavati,http://guru-guha.blogspot.com/2008/07/dikshitar-kriti-sri-krishnam-bhajare.html
SrI kRshNO mAM,nAsAmaNi,http://guru-guha.blogspot.com/2008/07/dikshitar-kriti-sri-krishno-mam-raga.html
SrI lakshmI varAhaM,AbhOgi,http://guru-guha.blogspot.com/2008/08/dikshitar-kriti-sri-lakshmi-varaham.html
SrI madhurA puri vihAriNi,bilahari,http://guru-guha.blogspot.com/2008/08/dikshitar-kriti-sri-madhurapuri.html
SrI madhurAmbikayA,aThANa,http://guru-guha.blogspot.com/2008/08/dikshitar-kriti-sri-madhurambikaya-raga.html
SrI madhurAmbikE,kalyANi,http://guru-guha.blogspot.com/2008/08/dikshitar-kriti-sri-madhurambike-raga.html
SrI mahA gaNa patiravatu,gauLa,http://guru-guha.blogspot.com/2008/08/dikshitar-kriti-sri-maha-ganapatiravatu.html
SrI mahArAjnI,karNATaka kApi,http://guru-guha.blogspot.com/2008/08/dikshitar-kriti-sri-maharajni-raga.html
SrI mangaLAmbikAM,ghaNTa,http://guru-guha.blogspot.com/2008/08/dikshitar-kriti-sri-mangalambikam-raga.html
SrI mangaLAmbikE,kalyANi,http://guru-guha.blogspot.com/2008/08/dikshitar-kriti-sri-mangalambike-raga.html
SrI mAtaH Siva,bEgaDa,http://guru-guha.blogspot.com/2008/08/dikshitar-kriti-sri-matah-siva.html
SrI mAtR bhUtaM,kannaDa,http://guru-guha.blogspot.com/2008/08/dikshitar-kriti-sri-matrubhutam-raga.html
SrI mInAkshi gauri,gauri,http://guru-guha.blogspot.com/2008/08/dikshitar-kriti-sri-meenakshi-gauri.html
SrI mInAmbikAyAH,dEva gAndhAri,http://guru-guha.blogspot.com/2008/08/dikshitar-kriti-sri-meenambikayah-raga.html
SrI mUlAdhAra cakra,SrI rAgaM,http://guru-guha.blogspot.com/2008/08/dikshitar-kriti-sri-mooladhara-chakra.html
SrI nAtha sOdarIM,nabhOmaNi,http://guru-guha.blogspot.com/2008/07/dikshitar-kriti-sri-natha-sodareem-raga.html
SrI nAthAdi guru guhO,mAyA mALavagauLa,http://guru-guha.blogspot.com/2008/08/dikshitar-kriti-sri-nathadi-guruguho.html
SrI nIlOtpala nAyikE,nArI rItigauLa,http://guru-guha.blogspot.com/2008/08/dikshitar-kriti-sri-neelotpala-nayike.html
SrI pArtha sArathinA,Suddha dhanyASi,http://guru-guha.blogspot.com/2008/08/dikshitar-kriti-sri-parthasarathina.html
SrI pArvatI paramESvarau,bauLi,http://guru-guha.blogspot.com/2008/08/dikshitar-kriti-sri-parvathi.html
SrI rAja gOpAla,sAvEri,http://guru-guha.blogspot.com/2008/08/dikshitar-kriti-sri-rajagopala-raga.html
SrI rAja rAjESvari,pUrNa candrika,http://guru-guha.blogspot.com/2008/08/dikshitar-kriti-sri-rajarajesvari-raga.html
SrI rAja rAjESvarIM,madhyamAvati,http://guru-guha.blogspot.com/2008/08/dikshitar-kriti-sri-rajarajesvarim-raga.html
SrI rAma candrO,SrI ranjani,http://guru-guha.blogspot.com/2008/08/dikshitar-kriti-sri-ramachandro-raga.html
SrI ramA sarasvati,nAsAmaNi,http://guru-guha.blogspot.com/2008/08/dikshitar-kriti-sri-ramaa-sarasvati.html
SrI rAmaM ravi kula,nArAyaNa gauLa,http://guru-guha.blogspot.com/2008/08/dikshitar-kriti-sri-ramam-ravikula-raga.html
SrI ranga nAthAya,dhanyASi,http://guru-guha.blogspot.com/2008/08/dikshitar-kriti-sri-ranganathaya-raga.html
SrI sAmbaSivaM,bilahari,http://guru-guha.blogspot.com/2008/09/dikshitar-kriti-sri-sambasivam-raga.html
SrI sarasvati hitE,mAnji,http://guru-guha.blogspot.com/2008/09/dikshitar-kriti-sri-sarasvati-hite-raga.html
SrI sarasvati namOstu tE,Arabhi,http://guru-guha.blogspot.com/2008/09/dikshitar-kriti-sri-sarasvati-namostute.html
SrI satya nArAyaNaM,Siva pantuvarALi,http://guru-guha.blogspot.com/2008/09/dikshitar-kriti-sri-satyanarayanam-raga.html
SrI subrahmaNyAya,kAmbhOji,http://guru-guha.blogspot.com/2008/09/dikshitar-kriti-sri-subrahmanyaya-raga.html
SrI subrahmaNyO mAM,tODi,http://guru-guha.blogspot.com/2008/09/dikshitar-kriti-sri-subrahmanyo-mam.html
SrI sugandhi kuntaLAmbikE,kuntaLaM,http://guru-guha.blogspot.com/2008/09/dikshitar-kriti-sri-sugandhi.html
SrI Sukra bhagavantaM,paraju,http://guru-guha.blogspot.com/2008/09/dikshitar-kriti-sri-sukra-bhagavantam.html
SrI SUlinIM,Saila dESAkshi,http://guru-guha.blogspot.com/2008/09/dikshitar-kriti-sri-soolinim-raga-saila.html
SrI sundara rAjaM,kASi rAmakriya,http://guru-guha.blogspot.com/2008/09/dikshitar-kriti-sri-sundararajam-raga.html
SrI svAmi nAthAyA,khamAs,http://guru-guha.blogspot.com/2008/09/dikshitar-kriti-sri-svaminathaya-raga.html
SrI tyAgarAjasya,rudrapriya,http://guru-guha.blogspot.com/2008/07/dikshitar-kriti-sri-thyagarajasya-raga.html
SrI vaidya nAthaM,aThANa,http://guru-guha.blogspot.com/2008/09/dikshitar-kriti-sri-vaidyanatham-raga.html
SrI valmIka lingaM,kAmbhOji,http://guru-guha.blogspot.com/2008/08/dikshitar-kriti-sri-valmika-lingam-raga.html
SrI vAncha nAthaM,suraTi,http://guru-guha.blogspot.com/2008/08/dikshitar-kriti-sri-vanchanatham-raga.html
SrI vara lakshmi,SrI rAgaM,http://guru-guha.blogspot.com/2007/09/dikshitar-kriti-sri-vara-lakshmi-sri.html
SrI vaTuka nAtha,dEvakriya,http://guru-guha.blogspot.com/2008/08/dikshitar-kriti-sri-vatukanatha-raga.html
SrI vEnkaTa girISaM,suraTi,http://guru-guha.blogspot.com/2008/09/dikshitar-kriti-sri-venkata-gireesam.html
SrI vENu gOpAla,kuranji,http://guru-guha.blogspot.com/2008/09/dikshitar-kriti-sri-venugopala-sri.html
SrI vENu gOpAlaM bhaja,SankarAbharaNaM,http://guru-guha.blogspot.com/2008/09/dikshitar-kriti-sri-venugopalam-bhaja.html
SrI vidyA rAja gOpAlaM,jaganmOhanaM,http://guru-guha.blogspot.com/2008/08/dikshitar-kriti-sri-vidya-rajagopalam.html
SrI viSva nAthaM bhajEhaM,rAga mAlikA,http://guru-guha.blogspot.com/2008/08/dikshitar-kriti-sri-visvanatham.html
SRngAra rasa,rasa manjari,http://guru-guha.blogspot.com/2008/07/dikshitar-kriti-srngaara-rasa-raga.html
SRngAra SaktyAyudha,ramA manOhari,http://guru-guha.blogspot.com/2008/07/dikshitar-kriti-srngara-saktyayudha.html
SRngArAdi nava,dhavaLAngaM,http://guru-guha.blogspot.com/2008/07/dikshitar-kriti-srngaaradi-navarasa.html
stava rAjAdi,stava rAjaM,http://guru-guha.blogspot.com/2008/10/dikshitar-kriti-stava-rajadi-raga-stava.html
subrahmaNyaM,SankarAbharaNaM,http://guru-guha.blogspot.com/2008/10/dikshitar-kriti-subrahmanyam-raga.html
subrahmaNyEna,Suddha dhanyASi,http://guru-guha.blogspot.com/2008/10/dikshitar-kriti-subrahmanyena-raga.html
sundara mUrtim,Takka,http://guru-guha.blogspot.com/2008/10/dikshitar-kriti-sundara-moortim-raga.html
sundarESvarAya,SankarAbharaNaM,http://guru-guha.blogspot.com/2008/10/dikshitar-kriti-sundaresvaraya-raga.html
sUrya mUrtE,saurAshTraM,http://guru-guha.blogspot.com/2008/10/dikshitar-kriti-soorya-moorte-raga.html
svAmi nAtha,cala nATa,http://guru-guha.blogspot.com/2008/11/dikshitar-kriti-svaminatha.html
svAmi nAthEna,bRndAvani,http://guru-guha.blogspot.com/2008/11/dikshitar-kriti-svaminathena-raga.html
SvEta gaNa patiM,rAga cUDAmaNi,http://guru-guha.blogspot.com/2008/09/dikshitar-kriti-sveta-ganapatim-raga.html
