Krithi,Raga,Hyperlink
bRhannAyaki vara dAyaki,AndhALi,http://guru-guha.blogspot.com/2008/03/dikshitar-kriti-brhannayaki-vara-dayaki.html
bRhaspatE tArA patE,aThANa,http://guru-guha.blogspot.com/2008/03/dikshitar-kriti-brhaspathe-tharapathe.html
budhamASrayAmi,nATa kuranji,http://guru-guha.blogspot.com/2008/03/dikshitar-kriti-budhamasrayami-raga.html
candra SEkharaM,mArga hindOLaM,http://guru-guha.blogspot.com/2007/11/dikshitar-kriti-chandra-sekharam-raga.html
candraM bhaja,asAvEri,http://guru-guha.blogspot.com/2007/11/dikshitar-kriti-chandram-bhaja-raga.html
cEtaH SrI bAla kRshNaM,jujAvanti,http://guru-guha.blogspot.com/2007/11/dikshitar-kriti-chetah-sri-bala.html
chAyAvatIM,chAyAvati,http://guru-guha.blogspot.com/2007/11/dikshitar-kriti-chaayaavateem-raga.html
cidambara naTarAja mUrtiM,tanukIrti,http://guru-guha.blogspot.com/2007/11/dikshitar-kriti-chidambara-nataraja.html
cidambara naTarAjaM,kEdAraM,http://guru-guha.blogspot.com/2007/11/dikshitar-kriti-chidambara-natarajam.html
cidambarESvaraM,dhuni bhinna shaDjaM,http://guru-guha.blogspot.com/2007/11/dikshitar-kriti-chidambaresvaram-raga.html
cintaya citta,SankarAbharaNam,http://guru-guha.blogspot.com/2008/11/dikshitar-kriti-chintaya-chitta-raga.html
cintaya mA kanda,bhairavi,http://guru-guha.blogspot.com/2007/11/dikshitar-kriti-chinthaya-maa-kanda.html
cintayE mahA linga,paraju,http://guru-guha.blogspot.com/2007/11/dikshitar-kriti-chinthayae-mahaalinga.html
cintayEhaM sadA,SankarAbharaNaM,http://guru-guha.blogspot.com/2007/11/dikshitar-kriti-chinthayeham-sadaa-raga.html
dAkshAyaNi,tODi,http://guru-guha.blogspot.com/2007/12/dikshitar-kriti-daakshaayani-raga-todi.html
dakshiNA mUrtE,SankarAbharaNaM,http://guru-guha.blogspot.com/2007/12/dikshitar-kriti-dakshinaa-moortae-raga.html
daNDa nAthAya,khamAs,http://guru-guha.blogspot.com/2007/12/dikshitar-kriti-danda-naathayaa.html
daNDAyudha pANiM,Ananda bhairavi,http://guru-guha.blogspot.com/2007/12/dikshitar-kriti-dandaayudha-paanim-raga.html
dASarathE,SankarAbharaNaM,http://guru-guha.blogspot.com/2007/12/dikshitar-kriti-daasarathae-raga.html
dEvi jagadISvari,bhairavi,http://guru-guha.blogspot.com/2007/12/dikshitar-kriti-devi-jageesvari-raga.html
dharma samvardhani,madhyamAvati,http://guru-guha.blogspot.com/2007/12/dikshitar-kriti-dharma-samvardhani-raga.html
dIna bandhO,SankarAbharaNaM,http://guru-guha.blogspot.com/2007/12/dikshitar-kriti-deena-bandho-raga.html
divAkara tanujaM,yadukula kAmbhOji,http://guru-guha.blogspot.com/2007/12/dikshitar-kriti-divaakara-tanujam-raga.html
Ehi annapUrNE,punnAga varALi,http://guru-guha.blogspot.com/2007/08/dikshitar-kriti-ehi-annapoornae-raga.html
Eka dantaM bhajEhaM,bilahari,http://guru-guha.blogspot.com/2007/08/dikshitar-kriti-eka-dantham-bhajeham.html
EkAmra nAthaM bhajEhaM,gamaka kriyA,http://guru-guha.blogspot.com/2007/08/dikshitar-kriti-ekaamra-naatham.html
EkAmra nAthAya,vIra vasantaM,http://guru-guha.blogspot.com/2007/08/dikshitar-kriti-ekaamra-naathaaya-raga.html
EkAmra nAthAya namastE,mukhAri,http://guru-guha.blogspot.com/2007/08/dikshitar-kriti-ekaamra-naathaaya.html
EkAmra nAthESvarENa,caturangiNi,http://guru-guha.blogspot.com/2007/08/dikshitar-kriti-ekaamra-naathesvarena.html
EkAmrESa nAyakIM,cAmaraM,http://guru-guha.blogspot.com/2007/08/dikshitar-kriti-ekaamresa-naayakeem.html
EkAmrESa nAyikE,Suddha sAvEri,http://guru-guha.blogspot.com/2007/08/dikshitar-kriti-ekaamresa-naayikae-raga.html
gajAdISAdanyaM,nATa kuranji,http://guru-guha.blogspot.com/2007/10/dikshitar-kriti-gajaadheesaadanyam-raga.html
gajAmbA nAyakO,janjUTi,http://guru-guha.blogspot.com/2007/10/dikshitar-kriti-gajaambaa-naayako-raga.html
gajAnana yutaM,vEgavAhini,http://guru-guha.blogspot.com/2007/10/dikshitar-kriti-gajaanana-yutham-raga.html
gAna lOlE,nAga varALi,http://guru-guha.blogspot.com/2007/10/dikshitar-kriti-gaana-lolae-raga-naaga.html
gaNa nAyakaM,rudra priya,http://guru-guha.blogspot.com/2007/10/dikshitar-kriti-gana-naayakam-raga.html
gaNa patE mahA matE,kalyANi,http://guru-guha.blogspot.com/2007/10/dikshitar-kriti-ganapathae-mahaamathae.html
gaNa rAjEna,Arabhi,http://guru-guha.blogspot.com/2007/10/dikshitar-kriti-gana-rajena-raga-arabhi.html
gaNESa kumAra,janjUTi,http://guru-guha.blogspot.com/2007/10/dikshitar-kriti-ganesa-kumaara-raga.html
gangE mAM pAhi,janjUTi,http://guru-guha.blogspot.com/2007/10/dikshitar-kriti-gangae-mam-pahi-raga.html
gauri giri rAja,gauri,http://guru-guha.blogspot.com/2007/11/dikshitar-kriti-gauri-giri-raja-kumaari.html
gaurISAya,Arabhi,http://guru-guha.blogspot.com/2007/11/dikshitar-kriti-gireesaaya-namastae.html
girijayA ajayA,SankarAbharaNaM,http://guru-guha.blogspot.com/2007/10/dikshitar-kriti-girijayaa-ajayaa-raga.html
gIti cakra ratha,kannaDa,http://guru-guha.blogspot.com/2007/10/dikshitar-kriti-geethi-chakra-ratha.html
gOkarNESvara,saurAshTraM,http://guru-guha.blogspot.com/2007/10/dikshitar-kriti-gokarnesvara-raga.html
gOpAla kRshNAya,kAmbhOji,http://guru-guha.blogspot.com/2007/10/dikshitar-kriti-gopala-krishnaaya-raga.html
gOvardhana girISaM,hindOLaM,http://guru-guha.blogspot.com/2007/10/dikshitar-kriti-govardhana-gireesam.html
gOvinda rAjaM,mukhAri,http://guru-guha.blogspot.com/2007/11/dikshitar-kriti-govinda-rajam.html
gOvinda rAjAya,suraTi,http://guru-guha.blogspot.com/2007/11/dikshitar-kriti-govinda-raajaaya-raga.html
gOvinda rAjEna,mEca bauLi,http://guru-guha.blogspot.com/2007/11/dikshitar-kriti-govinda-raajena-raga.html
guNi janAdi nuta,gurjari,http://guru-guha.blogspot.com/2007/10/dikshitar-kriti-guni-janaadi-nutha-raga.html
guru guha bhava,caturangiNi,http://guru-guha.blogspot.com/2007/10/dikshitar-kriti-guru-guha-bhava.html
guru guha pada,SankarAbharaNaM,http://guru-guha.blogspot.com/2007/10/dikshitar-kriti-guru-guha-pada-pankajam.html
guru guha sarasija,SankarAbharaNaM,http://guru-guha.blogspot.com/2007/10/dikshitar-kriti-guru-guha-sarasija-raga.html
guru guha svAmini,bhAnumati,http://guru-guha.blogspot.com/2007/10/dikshitar-kriti-guru-guha-svaamini-raga.html
